year_num,tm,attend_g,est_payroll,w,l
2017,MIN,25324,103932500,85,77
2017,NYM,30378,176615252,70,92
2017,NYY,38950,182424700,91,71
2017,OAK,18219,51560000,75,87
2017,PHI,23523,86276000,66,96
2017,PIT,23697,102953333,75,87
2017,SDP,26401,49248767,71,91
2017,SEA,26364,172438700,78,84
2017,SFG,40786,177399833,64,98
2017,STL,42572,129652933,83,79
2017,TBR,15477,79473033,80,82
2017,TEX,30960,207326274,78,84
2017,TOR,39554,158890575,76,86
2017,WSN,31173,175587301,97,65
2018,ARI,27688,134850600,82,80
2018,ATL,31553,115848667,90,72
2018,BAL,19311,141555833,47,115
2018,BOS,35748,222205000,108,54
2018,CHC,38794,205373881,95,68
2018,CHW,19862,75092000,62,100
2018,CIN,20116,94587500,67,95
2018,CLE,23786,143375233,91,71
2018,COL,37233,136658500,91,72
2018,DET,22926,111531000,64,98
2018,HOU,36797,172781200,103,59
2018,KCR,20557,95199167,58,104
2018,LAA,37287,166849666,80,82
2018,LAD,47043,164703429,92,71
2018,MIA,10014,86515143,63,98
2018,MIL,35196,109295700,96,67
2018,MIN,24188,110275000,78,84
2018,NYM,27469,161403844,77,85
2018,NYY,42998,160743032,100,62
2018,OAK,19427,69883333,97,65
2018,PHI,26644,93874333,80,82
2018,PIT,18316,88141000,82,79
2018,SDP,26772,93821067,66,96
2018,SEA,28389,157090065,89,73
2018,SFG,38965,202060277,73,89
2018,STL,42020,157713667,88,74
2018,TBR,14259,46011667,90,72
2018,TEX,26014,106099628,67,95
2018,TOR,28707,151670772,73,89
2018,WSN,31230,188886699,82,80
2019,ARI,26364,124016266,85,77
2019,ATL,32777,133186667,97,65
2019,BAL,16146,82696100,54,108
2019,BOS,35994,218978142,84,78
2019,CHC,38208,217805215,84,78
2019,CHW,20622,80846333,72,89
2019,CIN,22334,109737499,75,87
2019,CLE,21465,151257783,93,69
2019,COL,36954,145348500,71,91
2019,DET,18536,100618500,47,114
2019,HOU,35276,166042500,107,55
2019,KCR,18267,98183242,59,103
2019,LAA,37321,177345250,72,90
2019,LAD,49066,193553333,106,56
